T0,1000000,1000000,1000000,100000,100000,100000,10000,10000,10000,1000,1000,1000
alpha,0.999,0.99,0.9,0.999,0.99,0.9,0.999,0.99,0.9,0.999,0.99,0.9
y-max,0.396015889,0.395959369,0.396015889,0.396015889,0.396015889,0.396015889,0.396015889,0.396015889,0.395476508,0.396015889,0.334109754,0.396015889
time,2.056057692,0.286664009,0.018978119,1.73831892,0.175848961,0.017906904,1.681892157,0.1553123,0.017940998,1.54270792,0.154395103,0.014748812
,,,,,,,,,,,,
,,,,,,,,,,,,
T0,alpha,y-max,time,,,,,,,,,
1000000,0.999,0.396015889,2.056057692,,,,,,,,,
1000000,0.99,0.395959369,0.286664009,,,,,,,,,
1000000,0.9,0.396015889,0.018978119,,,,,,,,,
100000,0.999,0.396015889,1.73831892,,,,,,,,,
100000,0.99,0.396015889,0.175848961,,,,,,,,,
100000,0.9,0.396015889,0.017906904,,,,,,,,,
10000,0.999,0.396015889,1.681892157,,,,,,,,,
10000,0.99,0.396015889,0.1553123,,,,,,,,,
10000,0.9,0.395476508,0.017940998,,,,,,,,,
1000,0.999,0.396015889,1.54270792,,,,,,,,,
1000,0.99,0.334109754,0.154395103,,,,,,,,,
1000,0.9,0.396015889,0.014748812,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,0.9,0.99,0.999,,,,,,,,,
1000000,0.396015889,0.395959369,0.396015889,,,,,,,,,
100000,0.396015889,0.396015889,0.396015889,,,,,,,,,
10000,0.395476508,0.396015889,0.396015889,,,,,,,,,
1000,0.396015889,0.334109754,0.396015889,,,,,,,,,